,Label,count,mean,min,median,max,sum
0,0,116,116041.22304105094,16541.21892123288,82288.91329465542,1078991.0096123402,13460781.872761909
1,1,461,16059.244906975255,136.0,7530.971428571429,282646.13636363635,7403311.902115593
2,2,3637,8241.294064158736,2.8999999999999986,3920.98,97045.45166666668,29973586.51134532
